Unnamed: 0,Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA
0,Spirit,103,57.1%,53.4%,0.88,77.2%,34.3%,22.4%,25.2,0.21
1,Vitality,57,55.8%,55.4%,0.83,73.9%,33.4%,22.6%,26.1,0.21
2,Virtus.pro,105,53.8%,53.4%,0.81,74.3%,30.6%,21.1%,26.5,0.27
3,BIG,109,51.7%,51.7%,0.81,72.2%,29.7%,20.5%,30.8,0.26
4,FaZe,118,54.2%,49.5%,0.84,75.8%,33.0%,20.1%,21.9,0.16
5,Aurora,132,51.8%,51.7%,0.84,72.4%,29.7%,20.8%,24.4,0.18
6,Monte,104,51.2%,50.9%,0.83,72.4%,29.3%,22.5%,22.6,0.17
7,G2,77,52.3%,50.9%,0.82,76.8%,26.9%,21.7%,24.4,0.21
8,Imperial,70,51.8%,51.5%,0.79,74.3%,28.0%,19.9%,21.9,0.18
9,Eternal Fire,64,52.9%,53.8%,0.81,72.1%,30.6%,19.2%,26.5,0.21
10,Preasy,110,50.8%,49.7%,0.82,72.4%,29.4%,20.3%,30.6,0.22
11,MOUZ,82,51.7%,49.4%,0.81,74.9%,29.0%,19.7%,22.3,0.25
12,Liquid,44,50.6%,52.1%,0.77,72.1%,27.1%,20.2%,27.6,0.26
13,TheMongolz,56,53.0%,49.6%,0.83,75.6%,30.9%,19.2%,24.1,0.22
14,Cloud9,88,52.2%,51.0%,0.81,75.7%,27.9%,21.6%,24.2,0.22
15,MIBR,73,51.6%,51.8%,0.79,73.5%,28.1%,20.4%,23.8,0.22
16,paiN,62,51.0%,48.6%,0.8,74.5%,28.7%,20.4%,19.5,0.21
17,Astralis,61,51.0%,51.2%,0.8,71.8%,29.3%,18.8%,28.6,0.23
18,Natus Vincere,72,51.3%,51.6%,0.8,73.9%,27.1%,20.1%,22.3,0.21
19,Into the Breach,48,48.8%,51.0%,0.8,68.6%,28.4%,21.8%,23.4,0.15
20,SINNERS,90,49.8%,49.5%,0.81,71.3%,28.6%,18.3%,21.8,0.19
21,M80,48,51.0%,50.0%,0.81,72.8%,29.3%,20.4%,23.5,0.27
22,FURIA,86,50.3%,52.7%,0.78,70.6%,27.7%,18.6%,22.3,0.24
23,9 Pandas,99,49.7%,50.0%,0.78,71.5%,27.9%,20.9%,22.4,0.22
24,3DMAX,61,49.9%,49.4%,0.81,70.7%,29.5%,21.0%,26.1,0.23
25,Complexity,75,48.7%,51.5%,0.77,67.8%,28.4%,21.8%,19.4,0.22
26,FORZE,121,50.1%,48.3%,0.81,70.7%,30.8%,19.0%,20.2,0.2
27,HEROIC,88,49.6%,49.1%,0.79,69.6%,30.3%,19.4%,23.4,0.19
28,B8,65,48.8%,47.5%,0.82,72.0%,28.0%,22.4%,16.1,0.16
29,Apeks,131,48.8%,48.8%,0.77,71.4%,27.2%,18.6%,21.5,0.16
30,Metizport,53,49.7%,48.1%,0.79,70.7%,30.3%,22.3%,21.7,0.16
31,fnatic,71,48.9%,48.7%,0.77,71.6%,27.4%,20.5%,25.2,0.25
32,Falcons,55,47.4%,47.6%,0.79,69.1%,27.6%,18.5%,19.2,0.16
33,KOI,49,49.1%,51.0%,0.76,72.3%,24.7%,19.1%,25.6,0.21
34,Guild Eagles,59,49.8%,51.3%,0.81,69.0%,29.5%,20.8%,27.0,0.19
35,ECSTATIC,104,50.9%,48.9%,0.76,72.0%,30.5%,20.9%,27.3,0.27
36,Nouns,57,48.3%,50.6%,0.8,68.6%,27.4%,19.6%,29.6,0.2
37,BetBoom,111,49.9%,50.8%,0.79,70.1%,28.9%,21.3%,18.2,0.17
38,9z,46,49.0%,47.1%,0.78,71.2%,29.3%,18.5%,21.6,0.13
39,9INE,46,49.1%,51.7%,0.82,70.8%,25.9%,19.7%,18.8,0.2
40,EYEBALLERS,50,50.2%,48.1%,0.76,72.7%,29.2%,19.7%,29.3,0.25
41,ENCE,75,47.8%,50.0%,0.75,69.2%,26.4%,18.2%,24.0,0.18
42,Sprout,69,48.4%,48.1%,0.78,68.8%,29.6%,18.4%,24.3,0.22
43,OG,55,48.0%,49.8%,0.76,70.3%,25.9%,20.0%,20.6,0.23
44,SAW,70,50.4%,49.4%,0.74,75.7%,25.7%,18.9%,25.7,0.19
45,Anonymo,53,46.3%,49.0%,0.74,69.3%,24.3%,21.6%,22.3,0.24
46,GamerLegion,76,47.3%,48.6%,0.74,69.9%,25.9%,19.5%,20.5,0.22
