,Team,Maps,Won - Lost,Pistol win %,Round 2 convR2 conv,Round 2 breakR2 break
0,Spirit,103,118 - 88,57.3%,93.9%,13.6%
1,Vitality,57,62 - 52,54.4%,77.0%,25.0%
2,Virtus.pro,105,109 - 101,51.9%,92.7%,11.9%
3,BIG,109,119 - 99,54.6%,87.3%,9.1%
4,FaZe,118,136 - 100,57.6%,84.4%,18.0%
5,Aurora,132,145 - 119,54.9%,81.4%,31.1%
6,Monte,104,111 - 97,53.4%,82.0%,15.5%
7,G2,77,78 - 76,50.6%,84.6%,21.1%
8,Imperial,70,65 - 75,46.4%,78.5%,17.3%
9,Eternal Fire,64,68 - 60,53.1%,85.3%,23.3%
10,Preasy,110,100 - 120,45.5%,88.0%,17.5%
11,MOUZ,82,74 - 90,45.1%,94.6%,5.6%
12,Liquid,44,48 - 40,54.5%,85.4%,22.5%
13,TheMongolz,56,63 - 49,56.2%,87.3%,16.3%
14,Cloud9,88,93 - 83,52.8%,87.1%,6.0%
15,MIBR,73,66 - 80,45.2%,81.8%,13.8%
16,paiN,62,61 - 63,49.2%,80.3%,17.5%
17,Astralis,61,62 - 60,50.8%,91.9%,13.3%
18,Natus Vincere,72,80 - 64,55.6%,87.5%,12.5%
19,Into the Breach,48,43 - 53,44.8%,83.7%,11.3%
20,SINNERS,90,87 - 93,48.3%,85.1%,16.3%
21,M80,48,43 - 53,44.8%,81.4%,17.0%
22,FURIA,86,79 - 93,45.9%,87.3%,14.0%
23,9 Pandas,99,94 - 104,47.5%,83.0%,13.5%
24,3DMAX,61,67 - 55,54.9%,89.6%,16.4%
25,Complexity,75,77 - 73,51.3%,80.3%,19.2%
26,FORZE,121,117 - 125,48.3%,83.8%,22.4%
27,HEROIC,88,84 - 92,47.7%,88.1%,12.0%
28,B8,65,64 - 66,49.2%,79.7%,3.0%
29,Apeks,131,128 - 134,48.9%,85.9%,11.3%
30,Metizport,53,52 - 54,49.1%,76.9%,9.3%
31,fnatic,71,70 - 72,49.3%,81.4%,11.1%
32,Falcons,55,44 - 66,40.0%,95.5%,25.8%
33,KOI,49,48 - 50,49.0%,85.4%,20.4%
34,Guild Eagles,59,65 - 53,55.1%,84.6%,13.2%
35,ECSTATIC,104,101 - 107,48.6%,86.1%,16.8%
36,Nouns,57,61 - 53,53.5%,90.2%,18.9%
37,BetBoom,111,102 - 120,45.9%,90.2%,22.5%
38,9z,46,45 - 47,48.9%,86.7%,14.9%
39,9INE,46,46 - 46,50.0%,89.1%,8.9%
40,EYEBALLERS,50,59 - 41,59.0%,76.3%,14.6%
41,ENCE,75,72 - 78,48.0%,87.5%,19.7%
42,Sprout,69,72 - 66,52.2%,84.5%,10.6%
43,OG,55,55 - 55,50.0%,89.1%,5.6%
44,SAW,70,73 - 67,52.1%,80.8%,17.9%
45,Anonymo,53,54 - 52,50.9%,72.2%,5.8%
46,GamerLegion,76,68 - 84,44.7%,80.9%,13.1%
